year,attacktype,count
1995,Bombing/Explosion,791
1995,Armed Assault,740
1995,Hostage Taking (Kidnapping),141
1995,Assassination,729
1995,Unknown,232
1995,Facility/Infrastructure Attack,297
1995,Unarmed Assault,108
1995,Hostage Taking (Barricade Incident),13
1995,Hijacking,30
1996,Bombing/Explosion,1217
1996,Armed Assault,638
1996,Hostage Taking (Kidnapping),155
1996,Assassination,478
1996,Unknown,291
1996,Facility/Infrastructure Attack,216
1996,Unarmed Assault,23
1996,Hostage Taking (Barricade Incident),15
1996,Hijacking,23
1997,Bombing/Explosion,1123
1997,Armed Assault,826
1997,Hostage Taking (Kidnapping),299
1997,Assassination,420
1997,Unknown,348
1997,Facility/Infrastructure Attack,140
1997,Unarmed Assault,25
1997,Hostage Taking (Barricade Incident),3
1997,Hijacking,16
1998,Bombing/Explosion,504
1998,Armed Assault,264
1998,Hostage Taking (Kidnapping),43
1998,Assassination,24
1998,Unknown,23
1998,Facility/Infrastructure Attack,57
1998,Unarmed Assault,15
1998,Hostage Taking (Barricade Incident),0
1998,Hijacking,3
1999,Bombing/Explosion,652
1999,Armed Assault,368
1999,Hostage Taking (Kidnapping),113
1999,Assassination,61
1999,Unknown,39
1999,Facility/Infrastructure Attack,114
1999,Unarmed Assault,37
1999,Hostage Taking (Barricade Incident),6
1999,Hijacking,6
2000,Bombing/Explosion,904
2000,Armed Assault,492
2000,Hostage Taking (Kidnapping),124
2000,Assassination,103
2000,Unknown,43
2000,Facility/Infrastructure Attack,112
2000,Unarmed Assault,26
2000,Hostage Taking (Barricade Incident),2
2000,Hijacking,7
2001,Bombing/Explosion,802
2001,Armed Assault,581
2001,Hostage Taking (Kidnapping),145
2001,Assassination,127
2001,Unknown,45
2001,Facility/Infrastructure Attack,148
2001,Unarmed Assault,41
2001,Hostage Taking (Barricade Incident),4
2001,Hijacking,15
2002,Bombing/Explosion,721
2002,Armed Assault,366
2002,Hostage Taking (Kidnapping),78
2002,Assassination,73
2002,Unknown,25
2002,Facility/Infrastructure Attack,49
2002,Unarmed Assault,10
2002,Hostage Taking (Barricade Incident),4
2002,Hijacking,6
2003,Bombing/Explosion,678
2003,Armed Assault,312
2003,Hostage Taking (Kidnapping),46
2003,Assassination,86
2003,Unknown,27
2003,Facility/Infrastructure Attack,88
2003,Unarmed Assault,20
2003,Hostage Taking (Barricade Incident),2
2003,Hijacking,3
2004,Bombing/Explosion,655
2004,Armed Assault,259
2004,Hostage Taking (Kidnapping),77
2004,Assassination,104
2004,Unknown,26
2004,Facility/Infrastructure Attack,33
2004,Unarmed Assault,4
2004,Hostage Taking (Barricade Incident),2
2004,Hijacking,1
2005,Bombing/Explosion,1064
2005,Armed Assault,510
2005,Hostage Taking (Kidnapping),120
2005,Assassination,225
2005,Unknown,38
2005,Facility/Infrastructure Attack,46
2005,Unarmed Assault,6
2005,Hostage Taking (Barricade Incident),0
2005,Hijacking,2
2006,Bombing/Explosion,1502
2006,Armed Assault,737
2006,Hostage Taking (Kidnapping),201
2006,Assassination,140
2006,Unknown,39
2006,Facility/Infrastructure Attack,107
2006,Unarmed Assault,15
2006,Hostage Taking (Barricade Incident),7
2006,Hijacking,3
2007,Bombing/Explosion,1865
2007,Armed Assault,848
2007,Hostage Taking (Kidnapping),223
2007,Assassination,140
2007,Unknown,30
2007,Facility/Infrastructure Attack,116
2007,Unarmed Assault,6
2007,Hostage Taking (Barricade Incident),6
2007,Hijacking,7
2008,Bombing/Explosion,2642
2008,Armed Assault,1093
2008,Hostage Taking (Kidnapping),392
2008,Assassination,219
2008,Unknown,106
2008,Facility/Infrastructure Attack,285
2008,Unarmed Assault,33
2008,Hostage Taking (Barricade Incident),2
2008,Hijacking,15
2009,Bombing/Explosion,2565
2009,Armed Assault,1118
2009,Hostage Taking (Kidnapping),279
2009,Assassination,227
2009,Unknown,137
2009,Facility/Infrastructure Attack,349
2009,Unarmed Assault,19
2009,Hostage Taking (Barricade Incident),4
2009,Hijacking,23
2010,Bombing/Explosion,2507
2010,Armed Assault,1114
2010,Hostage Taking (Kidnapping),390
2010,Assassination,360
2010,Unknown,116
2010,Facility/Infrastructure Attack,293
2010,Unarmed Assault,21
2010,Hostage Taking (Barricade Incident),7
2010,Hijacking,13
2011,Bombing/Explosion,2587
2011,Armed Assault,1391
2011,Hostage Taking (Kidnapping),361
2011,Assassination,342
2011,Unknown,113
2011,Facility/Infrastructure Attack,242
2011,Unarmed Assault,20
2011,Hostage Taking (Barricade Incident),2
2011,Hijacking,9
2012,Bombing/Explosion,5080
2012,Armed Assault,2081
2012,Hostage Taking (Kidnapping),352
2012,Assassination,458
2012,Unknown,182
2012,Facility/Infrastructure Attack,293
2012,Unarmed Assault,29
2012,Hostage Taking (Barricade Incident),18
2012,Hijacking,5
2013,Bombing/Explosion,6669
2013,Armed Assault,2959
2013,Hostage Taking (Kidnapping),628
2013,Assassination,845
2013,Unknown,253
2013,Facility/Infrastructure Attack,555
2013,Unarmed Assault,38
2013,Hostage Taking (Barricade Incident),26
2013,Hijacking,17
2014,Bombing/Explosion,8759
2014,Armed Assault,4087
2014,Hostage Taking (Kidnapping),1396
2014,Assassination,922
2014,Unknown,782
2014,Facility/Infrastructure Attack,764
2014,Unarmed Assault,37
2014,Hostage Taking (Barricade Incident),45
2014,Hijacking,48
2015,Bombing/Explosion,7615
2015,Armed Assault,3353
2015,Hostage Taking (Kidnapping),1175
2015,Assassination,917
2015,Unknown,855
2015,Facility/Infrastructure Attack,682
2015,Unarmed Assault,96
2015,Hostage Taking (Barricade Incident),76
2015,Hijacking,37
